07-21-2026 19:04:44 RAM 1618/7546MB (lfb 185x4MB) SWAP 2435/8192MB (cached 32MB) CPU [0%@729,5%@729,0%@729,4%@729,4%@729,4%@729] GR3D_FREQ 0% cpu@51.125C/51.687C soc2@50.812C/51.093C soc0@51.906C/52.031C gpu@51.937C/52.562C tj@51.937C/52.562C soc1@51.781C/52.125C VDD_IN 5008mW/5116mW/5248mW VDD_CPU_GPU_CV 1440mW/1502mW/1600mW VDD_SOC 1200mW/1203mW/1240mW
07-21-2026 19:04:44 RAM 1622/7546MB (lfb 185x4MB) SWAP 2435/8192MB (cached 34MB) CPU [9%@729,4%@729,9%@729,5%@729,0%@729,5%@729] GR3D_FREQ 0% cpu@51.218C/51.687C soc2@50.75C/51.093C soc0@51.781C/52.031C gpu@52.187C/52.562C tj@52.187C/52.562C soc1@51.843C/52.125C VDD_IN 5048mW/5111mW/5248mW VDD_CPU_GPU_CV 1480mW/1500mW/1600mW VDD_SOC 1200mW/1203mW/1240mW
07-21-2026 19:04:45 RAM 1619/7546MB (lfb 185x4MB) SWAP 2435/8192MB (cached 34MB) CPU [9%@729,0%@729,4%@729,0%@729,4%@729,0%@729] GR3D_FREQ 0% cpu@51.343C/51.687C soc2@50.812C/51.093C soc0@51.75C/52.031C gpu@51.812C/52.562C tj@51.843C/52.562C soc1@51.843C/52.125C VDD_IN 5088mW/5109mW/5248mW VDD_CPU_GPU_CV 1480mW/1499mW/1600mW VDD_SOC 1200mW/1203mW/1240mW
07-21-2026 19:04:45 RAM 1613/7546MB (lfb 185x4MB) SWAP 2434/8192MB (cached 34MB) CPU [5%@729,9%@729,5%@729,4%@729,0%@729,4%@729] GR3D_FREQ 0% cpu@51.437C/51.687C soc2@50.781C/51.093C soc0@51.843C/52.031C gpu@51.875C/52.562C tj@52.093C/52.562C soc1@52.093C/52.125C VDD_IN 5088mW/5108mW/5248mW VDD_CPU_GPU_CV 1480mW/1498mW/1600mW VDD_SOC 1200mW/1203mW/1240mW
07-21-2026 19:04:45 RAM 1613/7546MB (lfb 185x4MB) SWAP 2434/8192MB (cached 34MB) CPU [0%@729,0%@729,9%@729,9%@729,4%@729,0%@729] GR3D_FREQ 0% cpu@51.218C/51.687C soc2@50.75C/51.093C soc0@51.937C/52.031C gpu@52.25C/52.562C tj@52.25C/52.562C soc1@51.718C/52.125C VDD_IN 5088mW/5107mW/5248mW VDD_CPU_GPU_CV 1480mW/1496mW/1600mW VDD_SOC 1200mW/1202mW/1240mW
07-21-2026 19:04:45 RAM 1613/7546MB (lfb 185x4MB) SWAP 2434/8192MB (cached 34MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,4%@729] GR3D_FREQ 0% cpu@51.093C/51.687C soc2@50.687C/51.093C soc0@51.687C/52.031C gpu@51.781C/52.562C tj@51.781C/52.562C soc1@51.75C/52.125C VDD_IN 5048mW/5104mW/5248mW VDD_CPU_GPU_CV 1480mW/1496mW/1600mW VDD_SOC 1200mW/1202mW/1240mW
07-21-2026 19:04:45 RAM 1613/7546MB (lfb 185x4MB) SWAP 2434/8192MB (cached 34MB) CPU [0%@729,9%@729,5%@729,0%@729,4%@729,0%@729] GR3D_FREQ 0% cpu@51.125C/51.687C soc2@50.75C/51.093C soc0@51.718C/52.031C gpu@52.093C/52.562C tj@52.093C/52.562C soc1@51.812C/52.125C VDD_IN 5048mW/5101mW/5248mW VDD_CPU_GPU_CV 1480mW/1495mW/1600mW VDD_SOC 1200mW/1202mW/1240mW
07-21-2026 19:04:46 RAM 1612/7546MB (lfb 184x4MB) SWAP 2434/8192MB (cached 34MB) CPU [17%@729,5%@729,9%@729,5%@729,0%@729,0%@729] GR3D_FREQ 34% cpu@51.437C/51.687C soc2@50.781C/51.093C soc0@51.656C/52.031C gpu@51.906C/52.562C tj@51.906C/52.562C soc1@52C/52.125C VDD_IN 5088mW/5100mW/5248mW VDD_CPU_GPU_CV 1480mW/1494mW/1600mW VDD_SOC 1200mW/1202mW/1240mW
07-21-2026 19:04:46 RAM 1616/7546MB (lfb 184x4MB) SWAP 2434/8192MB (cached 34MB) CPU [5%@729,9%@729,20%@729,5%@729,0%@729,9%@729] GR3D_FREQ 0% cpu@51.062C/51.687C soc2@50.718C/51.093C soc0@51.812C/52.031C gpu@51.906C/52.562C tj@51.906C/52.562C soc1@51.625C/52.125C VDD_IN 5208mW/5105mW/5248mW VDD_CPU_GPU_CV 1520mW/1495mW/1600mW VDD_SOC 1240mW/1204mW/1240mW
07-21-2026 19:04:46 RAM 1616/7546MB (lfb 184x4MB) SWAP 2434/8192MB (cached 34MB) CPU [0%@729,0%@729,0%@729,0%@729,4%@729,4%@729] GR3D_FREQ 0% cpu@51.156C/51.687C soc2@50.625C/51.093C soc0@51.875C/52.031C gpu@51.75C/52.562C tj@51.875C/52.562C soc1@51.718C/52.125C VDD_IN 5128mW/5106mW/5248mW VDD_CPU_GPU_CV 1480mW/1495mW/1600mW VDD_SOC 1200mW/1204mW/1240mW
07-21-2026 19:04:46 RAM 1616/7546MB (lfb 184x4MB) SWAP 2434/8192MB (cached 34MB) CPU [5%@729,5%@729,5%@729,0%@729,4%@729,0%@729] GR3D_FREQ 0% cpu@51.25C/51.687C soc2@50.625C/51.093C soc0@51.625C/52.031C gpu@52.187C/52.562C tj@51.687C/52.562C soc1@51.656C/52.125C VDD_IN 5128mW/5107mW/5248mW VDD_CPU_GPU_CV 1520mW/1496mW/1600mW VDD_SOC 1200mW/1203mW/1240mW
07-21-2026 19:04:47 RAM 1616/7546MB (lfb 184x4MB) SWAP 2434/8192MB (cached 35MB) CPU [9%@729,0%@729,0%@729,0%@729,0%@729,4%@729] GR3D_FREQ 0% cpu@51.406C/51.687C soc2@50.718C/51.093C soc0@51.625C/52.031C gpu@51.5C/52.562C tj@51.812C/52.562C soc1@51.812C/52.125C VDD_IN 5128mW/5108mW/5248mW VDD_CPU_GPU_CV 1480mW/1495mW/1600mW VDD_SOC 1200mW/1203mW/1240mW
07-21-2026 19:04:47 RAM 1615/7546MB (lfb 184x4MB) SWAP 2434/8192MB (cached 35MB) CPU [0%@729,0%@729,5%@729,4%@729,9%@729,0%@729] GR3D_FREQ 0% cpu@51.312C/51.687C soc2@50.656C/51.093C soc0@51.656C/52.031C gpu@51.968C/52.562C tj@51.968C/52.562C soc1@51.906C/52.125C VDD_IN 5088mW/5107mW/5248mW VDD_CPU_GPU_CV 1480mW/1494mW/1600mW VDD_SOC 1200mW/1203mW/1240mW
07-21-2026 19:04:47 RAM 1614/7546MB (lfb 184x4MB) SWAP 2434/8192MB (cached 35MB) CPU [21%@729,14%@729,5%@729,9%@729,4%@729,0%@729] GR3D_FREQ 0% cpu@51.062C/51.687C soc2@50.531C/51.093C soc0@51.718C/52.031C gpu@52.062C/52.562C tj@52.062C/52.562C soc1@51.625C/52.125C VDD_IN 5128mW/5108mW/5248mW VDD_CPU_GPU_CV 1520mW/1495mW/1600mW VDD_SOC 1200mW/1203mW/1240mW
07-21-2026 19:04:47 RAM 1605/7546MB (lfb 193x4MB) SWAP 2434/8192MB (cached 35MB) CPU [5%@729,4%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@51.093C/51.687C soc2@50.531C/51.093C soc0@51.812C/52.031C gpu@51.812C/52.562C tj@51.812C/52.562C soc1@51.687C/52.125C VDD_IN 5088mW/5107mW/5248mW VDD_CPU_GPU_CV 1480mW/1495mW/1600mW VDD_SOC 1200mW/1203mW/1240mW
07-21-2026 19:04:47 RAM 1602/7546MB (lfb 194x4MB) SWAP 2434/8192MB (cached 37MB) CPU [10%@1113,10%@1113,5%@1113,9%@1113,0%@1113,0%@1113] GR3D_FREQ 0% cpu@51.25C/51.687C soc2@50.625C/51.093C soc0@51.531C/52.031C gpu@51.656C/52.562C tj@51.656C/52.562C soc1@51.656C/52.125C VDD_IN 5128mW/5108mW/5248mW VDD_CPU_GPU_CV 1520mW/1496mW/1600mW VDD_SOC 1200mW/1203mW/1240mW
07-21-2026 19:04:48 RAM 1622/7546MB (lfb 194x4MB) SWAP 2434/8192MB (cached 63MB) CPU [45%@1728,26%@1728,26%@1728,21%@1728,21%@729,34%@729] GR3D_FREQ 0% cpu@51.625C/51.687C soc2@50.812C/51.093C soc0@51.562C/52.031C gpu@51.718C/52.562C tj@51.75C/52.562C soc1@51.75C/52.125C VDD_IN 5689mW/5128mW/5689mW VDD_CPU_GPU_CV 1800mW/1506mW/1800mW VDD_SOC 1280mW/1206mW/1280mW
