burst_mb,cpu_c,cpu_pct,gpu_c,mbps,t,tj_c
4,57.5,100.0,56.593,228.46375848767133,1.6117591880001783,57.5
4,57.375,100.0,56.531,294.8968681006823,1.6271356570000535,57.375
4,57.468,100.0,56.406,302.04969142079875,1.642161361000035,57.468
4,57.468,100.0,56.343,292.54767539487995,1.6576576100001148,57.468
4,57.25,100.0,56.187,272.71971250408006,1.6742777429999478,57.25
4,57.312,100.0,56.218,286.18104340322725,1.6901537519997873,57.312
4,57.25,100.0,56.468,248.7434591729206,1.7082089169998653,57.25
4,57.25,100.0,56.375,249.19131574491215,1.7262146080001912,57.25
4,57.437,100.0,56.093,258.92368521783527,1.7436045949998515,57.437
4,57.25,90.9,56.25,220.00764148614493,1.7638672049997695,57.25
4,57.156,100.0,56.218,335.73501748120344,1.7775269990002016,57.156
4,57.125,100.0,56.125,250.59205100978096,1.7966995520000637,57.125
4,57.062,100.0,56.125,324.39735223386987,1.810822116000054,57.25
4,57.218,100.0,56.093,247.96651453172586,1.8289178579998406,57.218
4,57.625,100.0,56.156,257.36838485047707,1.846423466000033,57.625
4,57.5,87.5,56.562,334.7788281238635,1.860084924000148,57.5
4,57.437,100.0,56.406,318.27420165546124,1.8742699869999342,57.437
4,57.312,88.9,56.093,336.90349650969733,1.8877640470000188,57.312
4,57.437,91.7,56.218,256.2723519407016,1.9051941640000223,57.437
4,57.375,100.0,56.562,318.37472751577434,1.919561473000158,57.375
4,57.125,100.0,56.187,254.48007797643012,1.9372628639998766,57.125
4,57.156,100.0,56.093,294.6065482439565,1.9526529650001976,57.156
4,57.093,100.0,56.312,227.82082739913338,1.9722594859999845,57.093
4,57.218,100.0,56.062,319.7923955165259,1.9865983469999264,57.218
4,57.187,100.0,56.593,325.3887547482041,2.0005593360001512,57.187
4,57.375,93.3,56.156,203.64464477828093,2.0222038239999165,57.375
4,57.343,100.0,56.062,331.34187127727205,2.036040585000137,57.343
4,57.125,100.0,56.312,259.9399367821997,2.0541670170000543,57.125
4,57.156,100.0,56.687,333.3373600072217,2.0679036460001043,57.156
4,57.187,100.0,56.531,297.68922886695793,2.0831578379998064,57.187
4,57.218,100.0,56.468,281.06104177981234,2.099260222999874,57.218
4,57.468,92.9,56.437,191.25619445733648,2.122241595000105,57.468
4,57.187,100.0,56.656,206.157204955762,2.1440076869998848,57.187
4,57.25,100.0,56.562,291.2403892975655,2.1595905320000384,57.25
4,57.25,100.0,56.093,222.72904660049437,2.179599756999778,57.25
4,57.437,100.0,56.093,292.4869631665313,2.195128455000031,57.437
4,57.312,100.0,56.281,234.48939107625404,2.2141808110000056,57.312
4,57.25,100.0,56.187,282.91080220713894,2.2302737230002094,57.25
4,57.093,100.0,56.125,291.3232660680133,2.2459762839998803,57.093
4,57.25,100.0,56.406,229.7762648715318,2.2654626409998855,57.25
4,57.375,100.0,56.062,250.30874545560252,2.2834867639999175,57.375
4,57.406,100.0,56.625,292.8575243872527,2.2991085859998748,57.406
4,57.218,100.0,56.156,232.5151212529642,2.318383446000098,57.218
4,57.25,100.0,56.468,228.42034815573385,2.3380042399999184,57.25
4,57.281,100.0,56.312,268.60120657956753,2.3549059199999647,57.281
4,57.25,100.0,56.25,286.2716745178338,2.370799080999859,57.25
4,57.625,100.0,56.562,257.0383035905786,2.3901208219999717,57.125
4,57.218,100.0,56.437,295.568533914682,2.4055644300001404,57.218
4,57.468,100.0,56.156,229.63698961528715,2.425089378999928,57.468
4,57.375,100.0,56.125,256.6482310211028,2.442739952000011,57.375
4,57.062,100.0,56.312,230.83614139150194,2.4621868829999585,57.062
4,57.125,100.0,56.062,286.0217967722666,2.478005705000214,57.125
4,57.187,100.0,56.187,290.7629221394394,2.4936040699999467,57.25
4,57.281,100.0,56.343,290.5386309424386,2.509186659000079,57.281
4,57.312,100.0,56.187,297.5229990818945,2.527954907000094,57.312
4,57.531,100.0,56.187,297.9314726358771,2.5432685259997925,57.531
4,57.125,100.0,56.125,193.0916057516838,2.566217607999988,57.125
4,57.312,100.0,56.437,212.81103663331726,2.5872845700000653,57.312
4,57.125,100.0,56.656,228.74286654782148,2.6068284640000456,57.125
4,57.156,100.0,56.531,292.28018816164894,2.622368202999951,57.156
4,57.75,100.0,56.437,186.51078684822352,2.6460316819998297,57.75
4,57.625,100.0,56.281,286.18854173168114,2.6618628239998543,57.625
4,57.437,100.0,56.218,296.1770159987729,2.6771806980000292,57.437
4,57.156,100.0,56.187,265.7463916477391,2.6941633090000323,57.156
4,57.25,100.0,56.125,296.77857960603154,2.709431805999884,57.25
4,57.218,100.0,56.125,287.7473846132695,2.725156255999991,57.218
4,57.187,100.0,56.031,293.3799629647148,2.7406797069997992,57.187
4,57.281,100.0,56.312,294.3954440936188,2.7561381949999486,57.281
4,57.25,100.0,56.218,267.4654764001614,2.7775838910001767,57.25
4,57.437,100.0,56.156,293.24409402972356,2.7930831799999396,57.437
4,57.531,100.0,56.125,313.6810283575766,2.807626881000033,57.531
4,57.187,100.0,56.343,238.45783428221694,2.826398521000101,57.187
4,57.218,100.0,56.187,135.98663783264493,2.8585307120001744,57.218
4,57.625,95.9,56.468,53.6928429492708,2.9378220769999643,57.625
4,57.156,95.1,56.593,58.27470254278762,3.012502573999882,57.156
4,57.156,92.9,56.468,187.18229792537397,3.03639268500001,57.156
4,57.5,100.0,56.312,195.31121289351395,3.0589897539998674,57.5
4,57.187,100.0,56.312,286.37239313892286,3.074825535999935,57.187
4,57.281,94.7,56.281,129.19500649812176,3.1086096310000357,57.281
4,57.218,100.0,56.468,238.14932436468487,3.127429848999782,57.125
4,57.125,100.0,56.312,146.07397020203706,3.1594664200001716,57.125
4,57.25,100.0,56.531,214.19943299998923,3.18028636300005,57.25
4,57.093,100.0,56.25,174.98920477699855,3.2054915009998695,57.093
4,57.312,100.0,56.343,169.86733084000315,3.231836010999814,57.062
4,57.156,100.0,56.5,184.01477627114275,3.2572076830001606,56.968
4,57.187,100.0,56.406,89.47060046831487,3.309180132000165,57.187
4,57.437,100.0,56.312,192.7789167165003,3.332948862000194,57.125
4,57.125,94.7,56.218,154.2782271999994,3.364932983000017,57.125
4,57.281,100.0,56.687,200.71318360967956,3.387027536000005,57.281
4,57.25,100.0,56.593,180.1876978103138,3.4129535980000583,57.25
4,57.0,100.0,56.187,198.55193512681694,3.435276000000158,57.187
4,57.187,100.0,56.187,283.38915348213385,3.456738591999965,57.187
4,57.375,100.0,56.343,195.82627070638028,3.4794157920000544,57.093
4,57.031,100.0,56.437,277.0642748503893,3.500447871999768,57.031
4,57.312,100.0,56.156,217.00359111591624,3.5210699839999506,57.312
4,57.25,100.0,56.656,190.22276855302343,3.5443387589998565,57.25
4,57.25,100.0,56.375,170.37342831892119,3.5702287869999054,57.25
4,57.093,100.0,56.437,275.8078301925898,3.594205428999885,57.093
4,57.125,100.0,56.656,140.2626768351683,3.625266793999799,57.125
4,57.375,100.0,56.5,193.66623410975683,3.6521002190002037,57.375
4,57.187,100.0,56.468,194.25435954796907,3.674858381999911,57.187
4,57.125,100.0,56.781,150.51875504015968,3.7040704910000386,57.125
4,57.156,100.0,56.281,251.12308665404925,3.721922256000198,57.093
4,57.468,100.0,56.437,205.173550103666,3.750211161000152,57.468
4,57.312,100.0,56.781,175.42507174000616,3.7770109849998335,57.312
4,57.093,100.0,56.531,177.1150646778298,3.801972208999814,57.093
4,57.062,100.0,56.375,97.96275363495941,3.8477711380000983,57.062
4,57.375,100.0,56.5,188.21636456294465,3.871266321999883,57.375
4,57.031,100.0,56.375,160.30768282699563,3.91549629300016,57.031
4,57.093,100.0,56.656,171.39382813523858,3.9411461200002122,56.937
4,56.875,100.0,56.5,104.98598210769275,3.9895270050001272,56.875
4,57.093,100.0,56.687,216.32667313178322,4.010129019000033,57.375
4,57.25,100.0,56.5,149.43161672520728,4.041911788000107,57.25
4,57.25,100.0,56.406,262.34843501710554,4.059093190000112,57.25
4,57.093,100.0,56.562,114.36584169829415,4.0968968010001845,57.093
4,57.343,100.0,56.343,124.85583753387452,4.147936347999803,57.062
4,57.25,100.0,56.218,111.28056687302596,4.188247031000174,57.25
4,57.031,100.0,56.125,148.39668192955557,4.219005439999819,57.031
4,57.031,100.0,56.281,152.71521554040595,4.247653367000112,57.031
4,57.031,100.0,56.187,205.8208432404018,4.269258013000126,57.062
4,57.0,100.0,56.187,220.56262425232708,4.294256007000058,57.0
4,57.062,100.0,56.156,313.6210072866226,4.309209449999798,57.062
4,57.093,100.0,56.187,303.2278922844175,4.324157550000109,57.093
4,57.187,100.0,56.25,197.36526585399534,4.34658843599982,57.187
4,57.031,100.0,56.468,235.10013733203743,4.366732608999882,57.031
4,57.187,100.0,56.218,204.94800688471793,4.388528942999983,57.187
4,57.156,100.0,56.593,255.80371311286183,4.406760530000156,57.156
4,57.5,100.0,56.187,325.0232397159203,4.4215717920001225,57.5
4,57.125,100.0,56.312,262.4724186157015,4.439375266999832,57.125
4,57.062,100.0,56.156,236.52481470002746,4.4583113929998035,57.062
4,57.312,100.0,56.687,260.9506725772282,4.475528828999813,57.312
4,57.25,100.0,56.187,259.0833832188483,4.493997769000089,57.031
4,57.25,100.0,56.187,168.63272652958614,4.520312836999892,57.25
4,57.187,85.7,56.375,253.60410370831454,4.53813871300008,57.187
4,57.531,100.0,56.25,281.82130988382596,4.554157382000085,57.531
4,57.125,100.0,56.25,270.56239678855167,4.5708090359999005,57.125
4,57.187,91.7,56.375,238.99134046519723,4.589658279000105,57.187
4,57.312,100.0,56.093,245.58806436924039,4.607828231999974,57.312
4,57.125,100.0,56.281,262.9357982920703,4.625383823999982,57.125
4,57.25,100.0,56.156,246.79921267382025,4.6469664530000045,57.25
4,57.25,85.7,56.156,328.07330350574216,4.66091477000009,57.25
4,57.187,100.0,56.093,280.9562134580632,4.677560344000085,57.187
4,57.187,87.5,56.093,327.63945461635507,4.691462995000165,57.187
4,57.125,100.0,56.187,307.89143275019666,4.706144012000095,57.125
4,57.125,100.0,56.187,296.5630103024451,4.721390619999966,57.125
4,57.343,100.0,56.125,213.93371616527946,4.742127391999929,57.031
4,56.937,83.3,56.343,315.2215574859924,4.756662675999905,56.937
4,56.937,92.3,56.031,264.4024097047277,4.773714377000033,56.937
4,56.937,92.9,56.5,185.3578692121632,4.7974250560000655,56.812
4,57.062,100.0,56.312,206.00524131014504,4.822224193999773,57.062
4,57.5,100.0,56.125,223.51836424425076,4.8422088729998904,57.5
4,57.531,100.0,56.687,260.1076013319937,4.8595519460000105,57.156
4,57.093,100.0,56.125,240.77868405353348,4.878170460000092,57.093
4,57.312,100.0,56.343,222.28294430069587,4.898289448000014,57.312
4,57.218,100.0,56.125,224.49422745132966,4.918181932000152,57.218
4,57.218,100.0,56.062,293.5797694057477,4.933707685000172,57.218
4,57.593,100.0,56.218,171.43284087908788,4.9594220580002,57.593
4,57.468,100.0,56.343,307.68905733500907,4.97427287399978,57.468
4,57.125,100.0,56.093,252.17348590709892,4.992085757000041,57.125
4,57.218,100.0,56.312,235.05376031057946,5.011127454999951,57.25
4,57.312,100.0,56.5,235.6831196498905,5.031000833999769,57.312
4,57.187,100.0,56.218,240.2173643457244,5.049623828000222,57.187
4,57.312,100.0,56.125,239.32255968956332,5.068298472000151,57.312
4,57.187,100.0,56.718,188.51442477846103,5.091723731999991,57.187
4,57.218,100.0,56.156,243.1988548131725,5.110136765999869,57.218
4,57.187,100.0,56.156,294.40868994454985,5.125522354000168,57.187
4,57.406,100.0,56.375,214.57747186686726,5.146243188999961,57.406
4,57.125,100.0,56.093,224.0318548729964,5.166155161000006,57.125
