07-21-2026 21:07:39 RAM 1756/7546MB (lfb 137x4MB) SWAP 2549/8192MB (cached 104MB) CPU [9%@729,9%@729,5%@729,4%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@52.406C/52.75C soc2@51.781C/52C soc0@52.718C/52.937C gpu@53.281C/53.375C tj@53.281C/53.375C soc1@53C/53.187C VDD_IN 5088mW/5146mW/5328mW VDD_CPU_GPU_CV 1480mW/1517mW/1600mW VDD_SOC 1200mW/1206mW/1240mW
07-21-2026 21:07:39 RAM 1756/7546MB (lfb 137x4MB) SWAP 2549/8192MB (cached 104MB) CPU [4%@729,9%@729,4%@729,5%@729,5%@729,4%@729] GR3D_FREQ 0% cpu@52.562C/52.75C soc2@51.906C/52C soc0@52.718C/52.937C gpu@53.031C/53.375C tj@53.093C/53.375C soc1@53.093C/53.187C VDD_IN 5088mW/5142mW/5328mW VDD_CPU_GPU_CV 1480mW/1514mW/1600mW VDD_SOC 1200mW/1206mW/1240mW
07-21-2026 21:07:39 RAM 1756/7546MB (lfb 137x4MB) SWAP 2549/8192MB (cached 104MB) CPU [0%@729,0%@729,0%@729,4%@729,0%@729,0%@729] GR3D_FREQ 16% cpu@52.218C/52.75C soc2@51.75C/52C soc0@52.718C/52.937C gpu@53.218C/53.375C tj@53.218C/53.375C soc1@52.906C/53.187C VDD_IN 5088mW/5139mW/5328mW VDD_CPU_GPU_CV 1520mW/1515mW/1600mW VDD_SOC 1200mW/1205mW/1240mW
07-21-2026 21:07:39 RAM 1756/7546MB (lfb 137x4MB) SWAP 2549/8192MB (cached 104MB) CPU [0%@729,4%@729,0%@729,0%@729,4%@729,0%@729] GR3D_FREQ 0% cpu@52.156C/52.75C soc2@51.812C/52C soc0@52.875C/52.937C gpu@52.937C/53.375C tj@52.937C/53.375C soc1@52.843C/53.187C VDD_IN 5088mW/5136mW/5328mW VDD_CPU_GPU_CV 1480mW/1512mW/1600mW VDD_SOC 1200mW/1205mW/1240mW
07-21-2026 21:07:40 RAM 1757/7546MB (lfb 137x4MB) SWAP 2549/8192MB (cached 104MB) CPU [4%@729,9%@729,5%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@52.375C/52.75C soc2@51.781C/52C soc0@52.906C/52.937C gpu@52.812C/53.375C tj@52.875C/53.375C soc1@52.875C/53.187C VDD_IN 5048mW/5130mW/5328mW VDD_CPU_GPU_CV 1480mW/1511mW/1600mW VDD_SOC 1200mW/1205mW/1240mW
07-21-2026 21:07:40 RAM 1757/7546MB (lfb 137x4MB) SWAP 2549/8192MB (cached 104MB) CPU [5%@729,5%@729,9%@729,9%@729,0%@729,0%@729] GR3D_FREQ 6% cpu@52.343C/52.75C soc2@51.843C/52C soc0@52.593C/52.937C gpu@53.125C/53.375C tj@53.125C/53.375C soc1@52.937C/53.187C VDD_IN 5088mW/5128mW/5328mW VDD_CPU_GPU_CV 1480mW/1509mW/1600mW VDD_SOC 1200mW/1204mW/1240mW
07-21-2026 21:07:40 RAM 1757/7546MB (lfb 137x4MB) SWAP 2549/8192MB (cached 104MB) CPU [4%@729,9%@729,9%@729,4%@729,4%@729,0%@729] GR3D_FREQ 0% cpu@52.281C/52.75C soc2@51.875C/52C soc0@52.75C/52.937C gpu@53.218C/53.375C tj@53.218C/53.375C soc1@53.031C/53.187C VDD_IN 5088mW/5126mW/5328mW VDD_CPU_GPU_CV 1480mW/1507mW/1600mW VDD_SOC 1200mW/1204mW/1240mW
07-21-2026 21:07:40 RAM 1757/7546MB (lfb 137x4MB) SWAP 2549/8192MB (cached 104MB) CPU [0%@729,4%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@52.5C/52.75C soc2@51.656C/52C soc0@52.687C/52.937C gpu@53.031C/53.375C tj@53.156C/53.375C soc1@53.156C/53.187C VDD_IN 5048mW/5122mW/5328mW VDD_CPU_GPU_CV 1480mW/1506mW/1600mW VDD_SOC 1200mW/1204mW/1240mW
07-21-2026 21:07:40 RAM 1757/7546MB (lfb 137x4MB) SWAP 2549/8192MB (cached 104MB) CPU [9%@729,4%@729,9%@729,0%@729,4%@729,0%@729] GR3D_FREQ 0% cpu@52.062C/52.75C soc2@51.687C/52C soc0@52.718C/52.937C gpu@52.781C/53.375C tj@52.812C/53.375C soc1@52.812C/53.187C VDD_IN 5088mW/5120mW/5328mW VDD_CPU_GPU_CV 1480mW/1505mW/1600mW VDD_SOC 1200mW/1204mW/1240mW
07-21-2026 21:07:41 RAM 1757/7546MB (lfb 137x4MB) SWAP 2549/8192MB (cached 104MB) CPU [4%@729,5%@729,5%@729,9%@729,4%@729,4%@729] GR3D_FREQ 0% cpu@52.125C/52.75C soc2@51.718C/52C soc0@52.75C/52.937C gpu@52.687C/53.375C tj@52.843C/53.375C soc1@52.843C/53.187C VDD_IN 5088mW/5119mW/5328mW VDD_CPU_GPU_CV 1480mW/1504mW/1600mW VDD_SOC 1200mW/1204mW/1240mW
